HF    FCI_atom    FCI_emb    VQE_emb
-12.585645507937478    -12.650896310021981    -12.623496403943975    (-12.623964244701599+0.0009576771124756858j)
-12.585645507937478    -12.6508963100251    -12.623496403934755    (-12.649521568355745+0.0036937423057414307j)
-12.585645507937478    -12.650896310023924    -12.623496403957867    (-12.630544673121461-0.0005579697582074876j)
-12.585645507937478    -12.65089631002482    -12.623496403955873    (-12.626117911005396-0.0015874751532207341j)
-12.585645507937478    -12.65089631002532    -12.623496403956239    (-12.622394707949708+0.0030817469537837037j)
-12.585645507937478    -12.650896310023418    -12.62349640391407    (-12.618494380847755+0.0005607416270622663j)
-12.585645507937478    -12.650896310024077    -12.623496403932087    (-12.628414471746975-0.000674509886175406j)
-12.585645507937478    -12.650896310024947    -12.623496403957374    (-12.61603644611785-6.92559691674162e-05j)
-12.585645507937478    -12.6508963100235    -12.623496403894874    (-12.61769947979737-0.0008367888666219427j)
-12.585645507937478    -12.650896310024361    -12.6234964039545    (-12.61793696111421+0.00021157163252381452j)
-12.585645507937478    -12.650896310026484    -12.623496405626733    (-12.626429223872252+0.002381577638747376j)
-12.585645507937478    -12.650896310023928    -12.623496403954746    (-12.635787861570035+0.0008813154720223975j)
-12.585645507937478    -12.650896310025942    -12.623496403947389    (-12.615861288596191+0.001890263812025759j)
-12.585645507937478    -12.650896310025097    -12.623496403956779    (-12.640877558890432+0.004413781187175845j)
-12.585645507937478    -12.650896310025606    -12.62349640371737    (-12.616046957435517+0.001892926265005685j)
-12.585645507937478    -12.650896310022691    -12.623496403956848    (-12.63767062131475+0.0003204534085987925j)
-12.585645507937478    -12.650896310024532    -12.623496403960218    (-12.624126798665548+0.0007148128725014309j)
-12.585645507937478    -12.650896310025017    -12.623496403955405    (-12.615212693551383+0.0002816026121282731j)
-12.585645507937478    -12.650896310026033    -12.623496403955917    (-12.615696442146339+0.00027693952174522116j)
-12.585645507937478    -12.650896310024843    -12.623496403938914    (-12.634212583032047-0.0021928151086267377j)
-12.585645507937478    -12.650896310025297    -12.623496403956986    (-12.628936753888723-0.002472495441412926j)
-12.585645507937478    -12.65089631002629    -12.623496403961495    (-12.62040518913849+0.0009192512280878724j)
-12.585645507937478    -12.650896310021865    -12.623496403955546    (-12.62432445270657+0.0009279713816954344j)
-12.585645507937478    -12.650896310021848    -12.623496403957581    (-12.617259948999125+0.00038062766013522125j)
-12.585645507937478    -12.65089631002546    -12.623496403858669    (-12.639879913929857-0.0003522704870044101j)
-12.585645507937478    -12.650896310023727    -12.623496403957265    (-12.606320554509445-0.0014069830382433968j)
