a    HF    FCI_emb    FCI_emb_rdm    FCI_emb_cp    FCI_emb_rdm_cp
3.0    -12.387208447989838    -12.414350943875826    -12.453669263706626    -12.414351922414962    -12.455367147527216
3.125    -12.479077211239858    -12.507937674865117    -12.548501917729695    -12.507939122865935    -12.550514352066282
3.25    -12.539807881272068    -12.570384994199635    -12.61227164622179    -12.57038692213321    -12.61439537115311
3.375    -12.576043730382056    -12.608360698023024    -12.651628765999995    -12.608363098196877    -12.653714411953434
3.5    -12.59307186668188    -12.627171167317547    -12.671864123615766    -12.627174001327345    -12.673807312064127
3.625    -12.595135541173011    -12.631074847107737    -12.677223399506493    -12.63107804019025    -12.678956089636626
3.75    -12.585645507937476    -12.623496403915153    -12.671124287172363    -12.623499838131945    -12.672606684115365
3.875    -12.567330911873452    -12.607180212880078    -12.656315210370929    -12.60718371598907    -12.657525661845971
4.0    -12.542366160839382    -12.584318261330218    -12.635004373188789    -12.584321584471352    -12.635929950470025
4.125    -12.512483296399607    -12.55666235155454    -12.608972874428847    -12.556665119666174    -12.609598830131658
4.25    -12.479064779880911    -12.52561520497224    -12.579657754837463    -12.525616856158146    -12.579962893086577
4.375    -12.443214677665903    -12.49230257536441    -12.548227293853158    -12.492302207123615    -12.548171334760323
4.5    -12.405812089462774    -12.457625673291945    -12.51562915541793    -12.457621832554532    -12.515146577870068
