a    HF    FCI_emb    FCI_emb_rdm    FCI_emb_cp    FCI_emb_rdm_cp
3.0    -12.387208447989838    -12.461162119430647    -12.49625487439145    -12.461132391208782    -12.484643728624476
3.125    -12.47907721123986    -12.55402063886277    -12.588509465453432    -12.553996986646625    -12.579989807922715
3.25    -12.53980788127207    -12.615549345458362    -12.649851981374686    -12.615531259905646    -12.64388709159214
3.375    -12.576043730382054    -12.65242850191106    -12.686973790409947    -12.652415455052987    -12.683065039782882
3.5    -12.593071866681882    -12.66999659410403    -12.705209970165205    -12.66998797165259    -12.702884667633606
3.625    -12.595135541173011    -12.672560482720247    -12.708844922369485    -12.672555493416805    -12.707646825120097
3.75    -12.585645507937476    -12.66652100766788    -12.707779706957426    -12.666475885336395    -12.699774176237506
3.875    -12.56733091187345    -12.649291244703898    -12.692810468587098    -12.649231225056242    -12.683808664124433
4.0    -12.542366160839382    -12.625679222447248    -12.671624238824412    -12.625596057563685    -12.66119852694517
4.125    -12.512483296399607    -12.597507311870023    -12.645963356518548    -12.597389485682443    -12.633728780501059
4.5    -12.405812089462772    -12.516972440294818    -12.564738076307435    -12.516696043388263    -12.549892770673376
