E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.1059109019211    -368.1334661107915    -368.13346611119795    -368.1281347596328    -0.5933966464415725    -0.557029466740232    -0.5608790550823338    0.29431041478456793
-368.1059109019211    -368.1334661107998    -368.13346611119795    -368.1650517184273    -0.5933966464415725    -0.5570294632498456    -0.5608790550823338    0.15972765726560104
-368.1059109019211    -368.1334661108028    -368.13346611119795    -368.1392748969064    -0.5933966464415725    -0.5570294658809782    -0.5608790550823338    0.3511045583686763
-368.1059109019211    -368.13346611080067    -368.13346611119795    -368.15701788736476    -0.5933966464415725    -0.5570294595622577    -0.5608790550823338    0.259510814329784
-368.1059109019211    -368.1334661107942    -368.13346611119795    -368.17423840413244    -0.5933966464415725    -0.5570294610895852    -0.5608790550823338    0.191389219203792
-368.1059109019211    -368.13346611076963    -368.13346611119795    -368.13247659000257    -0.5933966464415725    -0.5570294625120388    -0.5608790550823338    0.049488100324125824
-368.1059109019211    -368.1334661108038    -368.13346611119795    -368.12922733477944    -0.5933966464415725    -0.5570294667119158    -0.5608790550823338    -0.015969702257937982
-368.1059109019211    -368.1334661108087    -368.13346611119795    -368.132070650373    -0.5933966464415725    -0.5570294635995057    -0.5608790550823338    0.06406269582358916
-368.1059109019211    -368.13346611079925    -368.13346611119795    -368.13053066995565    -0.5933966464415725    -0.5570294626274713    -0.5608790550823338    0.22795912388386902
-368.1059109019211    -368.1334661108059    -368.13346611119795    -368.1098909175884    -0.5933966464415725    -0.5570294659723258    -0.5608790550823338    0.4154701866144918
-368.1059109019211    -368.13346611080226    -368.13346611119795    -368.15868413730396    -0.5933966464415725    -0.557029466673225    -0.5608790550823338    0.40965009457827806
-368.1059109019211    -368.1334661108047    -368.13346611119795    -368.1367489644271    -0.5933966464415725    -0.5570294665046724    -0.5608790550823338    0.27071578364468324
-368.1059109019211    -368.1334661107974    -368.13346611119795    -368.1459929309349    -0.5933966464415725    -0.55702946538124    -0.5608790550823338    0.14564650387259187
-368.1059109019211    -368.13346611079635    -368.13346611119795    -368.1325886115366    -0.5933966464415725    -0.5570294602898841    -0.5608790550823338    0.29880463243217487
-368.1059109019211    -368.1334661108091    -368.13346611119795    -368.11884687503937    -0.5933966464415725    -0.5570294611404667    -0.5608790550823338    0.3932987593981461
-368.1059109019211    -368.13346611079606    -368.13346611119795    -368.10497818774763    -0.5933966464415725    -0.5570294655516215    -0.5608790550823338    0.34809999911439193
-368.1059109019211    -368.1334661108051    -368.13346611119795    -368.1575613831758    -0.5933966464415725    -0.557029463346501    -0.5608790550823338    0.2909753934095649
-368.1059109019211    -368.1334661108159    -368.13346611119795    -368.13500841263146    -0.5933966464415725    -0.5570294625135997    -0.5608790550823338    0.25659700618702247
-368.1059109019211    -368.1334661107923    -368.13346611119795    -368.12731650694536    -0.5933966464415725    -0.5570294636841125    -0.5608790550823338    0.29732265017905635
-368.1059109019211    -368.1334661108121    -368.13346611119795    -368.1487796826185    -0.5933966464415725    -0.5570294623179731    -0.5608790550823338    0.25070872632041596
-368.1059109019211    -368.1334661108067    -368.13346611119795    -368.1318009598208    -0.5933966464415725    -0.5570294658769259    -0.5608790550823338    0.4028687815655671
-368.1059109019211    -368.13346611079606    -368.13346611119795    -368.1461283117942    -0.5933966464415725    -0.5570294619867806    -0.5608790550823338    0.20718820609023586
-368.1059109019211    -368.1334661107999    -368.13346611119795    -368.1442244987729    -0.5933966464415725    -0.557029463505259    -0.5608790550823338    0.12181241591537999
-368.1059109019211    -368.1334661108049    -368.13346611119795    -368.1471664428337    -0.5933966464415725    -0.5570294594991122    -0.5608790550823338    0.2697823561819309
-368.1059109019211    -368.13346611079385    -368.13346611119795    -368.14255827017485    -0.5933966464415725    -0.5570294621061992    -0.5608790550823338    0.24864035170139567
-368.1059109019211    -368.1334661107881    -368.13346611119795    -368.1163807157614    -0.5933966464415725    -0.5570294603739439    -0.5608790550823338    0.31269056438767995
-368.1059109019211    -368.13346611079726    -368.13346611119795    -368.14012140966173    -0.5933966464415725    -0.5570294675549508    -0.5608790550823338    0.08680292274937496
-368.1059109019211    -368.1334661108065    -368.13346611119795    -368.13738584007734    -0.5933966464415725    -0.5570294634243412    -0.5608790550823338    0.3480539655982017
-368.1059109019211    -368.1334661107984    -368.13346611119795    -368.16314249771267    -0.5933966464415725    -0.5570294624327868    -0.5608790550823338    0.1406104622790515
-368.1059109019211    -368.1334661107954    -368.13346611119795    -368.1395790462405    -0.5933966464415725    -0.5570294620029848    -0.5608790550823338    0.42623422128016647
-368.1059109019211    -368.13346611080544    -368.13346611119795    -368.1371908757721    -0.5933966464415725    -0.5570294677416932    -0.5608790550823338    -0.003419637353757537
-368.1059109019211    -368.1334661108034    -368.13346611119795    -368.1451146397018    -0.5933966464415725    -0.5570294620147586    -0.5608790550823338    -0.02836870868231386
-368.1059109019211    -368.133466110812    -368.13346611119795    -368.0974912359093    -0.5933966464415725    -0.5570294642458482    -0.5608790550823338    0.3221208552051066
-368.1059109019211    -368.1334661107975    -368.13346611119795    -368.1456794526801    -0.5933966464415725    -0.5570294650995532    -0.5608790550823338    0.12867395244704286
-368.1059109019211    -368.13346611079396    -368.13346611119795    -368.1310169150351    -0.5933966464415725    -0.5570294646214671    -0.5608790550823338    0.38579195455517307
-368.1059109019211    -368.13346611079294    -368.13346611119795    -368.1464926777318    -0.5933966464415725    -0.5570294621827516    -0.5608790550823338    0.11358109802256551
-368.1059109019211    -368.133466110799    -368.13346611119795    -368.09736212011353    -0.5933966464415725    -0.5570294618389192    -0.5608790550823338    0.23644549501302312
-368.1059109019211    -368.1334661108041    -368.13346611119795    -368.14398269604726    -0.5933966464415725    -0.557029464810225    -0.5608790550823338    0.266269917854473
-368.1059109019211    -368.13346611080226    -368.13346611119795    -368.1308905307173    -0.5933966464415725    -0.5570294597920297    -0.5608790550823338    0.3743242827726998
-368.1059109019211    -368.13346611079305    -368.13346611119795    -368.136495546005    -0.5933966464415725    -0.5570294656531014    -0.5608790550823338    0.44249778135892653
-368.1059109019211    -368.13346611078873    -368.13346611119795    -368.12526200496956    -0.5933966464415725    -0.557029460119991    -0.5608790550823338    0.23494082210034128
-368.1059109019211    -368.1334661107964    -368.13346611119795    -368.1470866743421    -0.5933966464415725    -0.5570294606470586    -0.5608790550823338    0.24820811114290828
-368.1059109019211    -368.13346611079504    -368.13346611119795    -368.1485886001587    -0.5933966464415725    -0.5570294601854895    -0.5608790550823338    0.24329804401789254
-368.1059109019211    -368.13346611081084    -368.13346611119795    -368.1266697965275    -0.5933966464415725    -0.5570294623920569    -0.5608790550823338    0.23338870381953147
-368.1059109019211    -368.1334661108063    -368.13346611119795    -368.12300987669283    -0.5933966464415725    -0.5570294617226849    -0.5608790550823338    0.07047713105403768
-368.1059109019211    -368.1334661107908    -368.13346611119795    -368.1358578998333    -0.5933966464415725    -0.5570294632058388    -0.5608790550823338    0.3307173121847971
-368.1059109019211    -368.133466110797    -368.13346611119795    -368.1223142369524    -0.5933966464415725    -0.5570294647400316    -0.5608790550823338    0.15566076985812682
-368.1059109019211    -368.1334661108024    -368.13346611119795    -368.1284631924067    -0.5933966464415725    -0.5570294658765597    -0.5608790550823338    0.07288382011243315
-368.1059109019211    -368.1334661107984    -368.13346611119795    -368.14116486976826    -0.5933966464415725    -0.5570294601326592    -0.5608790550823338    0.39930484533351723
-368.1059109019211    -368.13346611080885    -368.13346611119795    -368.1605910967886    -0.5933966464415725    -0.5570294635939951    -0.5608790550823338    0.3083177493528123
-368.1059109019211    -368.1334661108144    -368.13346611119795    -368.1128734661581    -0.5933966464415725    -0.5570294609157664    -0.5608790550823338    0.2825980822702593
-368.1059109019211    -368.13346611080243    -368.13346611119795    -368.1463842979543    -0.5933966464415725    -0.5570294620104211    -0.5608790550823338    0.20469968652532325
-368.1059109019211    -368.13346611080215    -368.13346611119795    -368.14434505582255    -0.5933966464415725    -0.5570294593973627    -0.5608790550823338    0.1917836380318027
-368.1059109019211    -368.13346611080124    -368.13346611119795    -368.1481961123781    -0.5933966464415725    -0.5570294668991581    -0.5608790550823338    0.36051421081276896
-368.1059109019211    -368.1334661107899    -368.13346611119795    -368.13736340527385    -0.5933966464415725    -0.5570294575434842    -0.5608790550823338    0.24660865377876337
-368.1059109019211    -368.1334661107977    -368.13346611119795    -368.1520486116342    -0.5933966464415725    -0.5570294615071686    -0.5608790550823338    0.0883731235295287
-368.1059109019211    -368.13346611080794    -368.13346611119795    -368.1250237937225    -0.5933966464415725    -0.5570294647081235    -0.5608790550823338    0.18248790506532098
-368.1059109019211    -368.1334661107778    -368.13346611119795    -368.14406135777773    -0.5933966464415725    -0.5570294589191793    -0.5608790550823338    0.2937132011462604
-368.1059109019211    -368.13346611079635    -368.13346611119795    -368.13532303013756    -0.5933966464415725    -0.5570294590778456    -0.5608790550823338    0.1230145584097846
-368.1059109019211    -368.13346611080294    -368.13346611119795    -368.12271901812915    -0.5933966464415725    -0.5570294645792097    -0.5608790550823338    -0.017987905221510805
-368.1059109019211    -368.1334661108002    -368.13346611119795    -368.12267193808907    -0.5933966464415725    -0.557029461899901    -0.5608790550823338    0.24061618643489643
-368.1059109019211    -368.1334661108097    -368.13346611119795    -368.1085195791383    -0.5933966464415725    -0.5570294632855649    -0.5608790550823338    0.16813904021041026
-368.1059109019211    -368.13346611080044    -368.13346611119795    -368.130855041912    -0.5933966464415725    -0.557029467711861    -0.5608790550823338    0.15680964128292163
-368.1059109019211    -368.1334661108052    -368.13346611119795    -368.14455646316316    -0.5933966464415725    -0.5570294600684345    -0.5608790550823338    0.2580572771809733
