E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.0961690288179    -368.1148512288349    -368.1148512287334    -368.1141506218991    0.6183396680740999    0.5857426513254477    0.5964514984692739    0.6302716223736593
-368.0961690288179    -368.1148512288249    -368.1148512287334    -368.1183580675254    0.6183396680740999    0.5857426528415586    0.5964514984692739    0.6498331594964901
-368.0961690288179    -368.11485122882004    -368.1148512287334    -368.1166662533556    0.6183396680740999    0.5857426582342333    0.5964514984692739    0.6340015322405402
-368.0961690288179    -368.1148512288274    -368.1148512287334    -368.10802253497275    0.6183396680740999    0.5857426499918019    0.5964514984692739    0.6265470536320407
-368.0961690288179    -368.1148512288295    -368.1148512287334    -368.1173119622952    0.6183396680740999    0.5857426527410589    0.5964514984692739    0.6385403383069036
-368.0961690288179    -368.11485122882283    -368.1148512287334    -368.1162388533884    0.6183396680740999    0.5857426507640201    0.5964514984692739    0.6490867463550185
-368.0961690288179    -368.11485122845295    -368.1148512287334    -368.1167915784529    0.6183396680740999    0.5857426422555186    0.5964514984692739    0.6169358953124956
-368.0961690288179    -368.1148512288363    -368.1148512287334    -368.12406620302977    0.6183396680740999    0.5857426524781121    0.5964514984692739    0.6436091086332857
-368.0961690288179    -368.1148512288232    -368.1148512287334    -368.1162959318907    0.6183396680740999    0.5857426555117038    0.5964514984692739    0.6409321527510491
-368.0961690288179    -368.114851228824    -368.1148512287334    -368.11107114672774    0.6183396680740999    0.5857426500924754    0.5964514984692739    0.6218329947871214
-368.0961690288179    -368.114851228818    -368.1148512287334    -368.10709590111463    0.6183396680740999    0.5857426541267738    0.5964514984692739    0.6405090960791922
-368.0961690288179    -368.11485122881686    -368.1148512287334    -368.1072529203005    0.6183396680740999    0.585742652405998    0.5964514984692739    0.6398981893995269
-368.0961690288179    -368.11485122881896    -368.1148512287334    -368.1074611042483    0.6183396680740999    0.5857426555957614    0.5964514984692739    0.6218926626382785
-368.0961690288179    -368.1148512288293    -368.1148512287334    -368.1125350600357    0.6183396680740999    0.5857426540585842    0.5964514984692739    0.6232648424913957
-368.0961690288179    -368.1148512288307    -368.1148512287334    -368.10893582622066    0.6183396680740999    0.5857426495465637    0.5964514984692739    0.6216444365604259
-368.0961690288179    -368.11485122882766    -368.1148512287334    -368.1127722559828    0.6183396680740999    0.5857426516647428    0.5964514984692739    0.6240525746004226
-368.0961690288179    -368.1148512288014    -368.1148512287334    -368.1133729760576    0.6183396680740999    0.5857426515995151    0.5964514984692739    0.6337514098451994
-368.0961690288179    -368.1148512284555    -368.1148512287334    -368.11112661735825    0.6183396680740999    0.5857426518506967    0.5964514984692739    0.6164157149237893
-368.0961690288179    -368.11485122883846    -368.1148512287334    -368.1214453039619    0.6183396680740999    0.5857426512926792    0.5964514984692739    0.6414411045294581
-368.0961690288179    -368.1148512288273    -368.1148512287334    -368.11215377100297    0.6183396680740999    0.5857426556895579    0.5964514984692739    0.6320057702716574
-368.0961690288179    -368.11485122882715    -368.1148512287334    -368.1224043929555    0.6183396680740999    0.5857426565415308    0.5964514984692739    0.6158023193206632
