E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.1045461335842    -368.1362264142919    -368.13622641421966    -368.1330602401404    -0.598176884182868    -0.5484525092940097    -0.5545351877143052    0.2053521461289856
-368.1045461335842    -368.136226414286    -368.13622641421966    -368.11178828448953    -0.598176884182868    -0.5484525105993608    -0.5545351877143052    0.33868251191864207
-368.1045461335842    -368.1362264142893    -368.13622641421966    -368.13350771652654    -0.598176884182868    -0.5484525085772847    -0.5545351877143052    0.37887243413668376
-368.1045461335842    -368.13622641429    -368.13622641421966    -368.1144559874178    -0.598176884182868    -0.5484525024413287    -0.5545351877143052    0.22568191575870863
-368.1045461335842    -368.1362264142897    -368.13622641421966    -368.15589624264146    -0.598176884182868    -0.5484525093088719    -0.5545351877143052    0.3578083484505045
-368.1045461335842    -368.1362264142892    -368.13622641421966    -368.10330680721995    -0.598176884182868    -0.5484525101996791    -0.5545351877143052    0.2884213910034301
-368.1045461335842    -368.13622641428515    -368.13622641421966    -368.1179522170154    -0.598176884182868    -0.548452509095622    -0.5545351877143052    0.3058362767795838
-368.1045461335842    -368.13622641429026    -368.13622641421966    -368.1078306188163    -0.598176884182868    -0.5484525057117114    -0.5545351877143052    0.1616194028642306
-368.1045461335842    -368.1362264142927    -368.13622641421966    -368.1192089156972    -0.598176884182868    -0.5484525073962538    -0.5545351877143052    0.21065022241264214
-368.1045461335842    -368.13622641428117    -368.13622641421966    -368.1199157230002    -0.598176884182868    -0.5484525061490966    -0.5545351877143052    0.5658488964322723
-368.1045461335842    -368.13622641429714    -368.13622641421966    -368.10745589281953    -0.598176884182868    -0.5484525071432983    -0.5545351877143052    0.15762818422613864
-368.1045461335842    -368.13622641429527    -368.13622641421966    -368.1156470027525    -0.598176884182868    -0.5484525106469947    -0.5545351877143052    0.06625437898299712
-368.1045461335842    -368.1362264142894    -368.13622641421966    -368.12256782205407    -0.598176884182868    -0.5484525123688909    -0.5545351877143052    0.3489174603411388
-368.1045461335842    -368.1362264142951    -368.13622641421966    -368.1308931822675    -0.598176884182868    -0.5484525093676449    -0.5545351877143052    0.17189471372738704
-368.1045461335842    -368.1362264142942    -368.13622641421966    -368.11525127715316    -0.598176884182868    -0.5484525102982841    -0.5545351877143052    0.08580269825554289
-368.1045461335842    -368.1362264142778    -368.13622641421966    -368.12511024848175    -0.598176884182868    -0.5484525122399958    -0.5545351877143052    0.2217599257554115
-368.1045461335842    -368.136226414286    -368.13622641421966    -368.08933753988384    -0.598176884182868    -0.5484525078911422    -0.5545351877143052    0.27861490831339475
-368.1045461335842    -368.1362264142972    -368.13622641421966    -368.15051821265257    -0.598176884182868    -0.5484525095077668    -0.5545351877143052    0.3299270415069097
-368.1045461335842    -368.13622641429185    -368.13622641421966    -368.12558851349814    -0.598176884182868    -0.5484525070697175    -0.5545351877143052    0.2397990285666219
-368.1045461335842    -368.13622641428924    -368.13622641421966    -368.1390031375048    -0.598176884182868    -0.5484525091787458    -0.5545351877143052    0.35801584725635627
-368.1045461335842    -368.1362264142885    -368.13622641421966    -368.15609038816507    -0.598176884182868    -0.5484525066377715    -0.5545351877143052    0.51084424567814
-368.1045461335842    -368.136226414289    -368.13622641421966    -368.11869165544533    -0.598176884182868    -0.548452504690532    -0.5545351877143052    0.290859635791621
-368.1045461335842    -368.1362264142856    -368.13622641421966    -368.1077548653678    -0.598176884182868    -0.5484525058164306    -0.5545351877143052    0.08498682754524377
-368.1045461335842    -368.13622641428856    -368.13622641421966    -368.143835090057    -0.598176884182868    -0.5484525035141111    -0.5545351877143052    0.46546771560404476
-368.1045461335842    -368.1362264142897    -368.13622641421966    -368.1354572484053    -0.598176884182868    -0.548452509175168    -0.5545351877143052    0.48143068136223643
-368.1045461335842    -368.13622641429333    -368.13622641421966    -368.1374896266543    -0.598176884182868    -0.5484525072618448    -0.5545351877143052    0.03715503663617394
-368.1045461335842    -368.1362264142948    -368.13622641421966    -368.1197622872355    -0.598176884182868    -0.5484525070211563    -0.5545351877143052    0.36052674169859095
-368.1045461335842    -368.13622641428253    -368.13622641421966    -368.1490595037432    -0.598176884182868    -0.5484525040517174    -0.5545351877143052    0.3081440920519144
